protocol,profile,payload,target_pps,repeat_index,duration_ms,actual_req_s,scheduled_requests,sent_requests,completed_requests,successes,errors,mean_ms,p95_ms,p99_ms,process_cpu_percent,process_mib,maxrss_mib
h2,clean,102b,1000,1,10000.104,1000.0,10000,10000,10000,10000,0,0.075,0.125,0.158,10.88,7.28,44.39
h3,clean,102b,1000,1,10000.122,1000.0,10000,10000,10000,10000,0,0.056,0.096,0.118,8.36,13.68,44.39
h2,clean,102b,3000,1,9999.750,3000.1,30000,30000,30000,30000,0,0.099,0.170,0.212,18.93,12.50,44.39
h3,clean,102b,3000,1,10000.432,2999.9,30000,30000,30000,30000,0,0.059,0.100,0.131,12.66,24.61,44.39
h2,clean,102b,6000,1,10000.273,5999.8,60000,60000,60000,60000,0,0.132,0.235,0.299,30.90,16.92,44.39
h3,clean,102b,6000,1,10000.758,5999.5,60000,60000,60000,60000,0,0.074,0.127,0.175,20.30,46.82,46.82
h2,clean,102b,10000,1,10000.020,10000.0,100000,100000,100000,100000,0,0.163,0.289,0.363,47.38,31.65,46.86
h3,clean,102b,10000,1,10000.331,9999.7,100000,100000,100000,100000,0,0.091,0.160,0.213,28.95,48.14,48.14
h2,clean,1k,1000,1,10000.982,999.9,10000,10000,10000,10000,0,0.078,0.133,0.167,9.75,17.70,48.30
h3,clean,1k,1000,1,9999.928,1000.0,10000,10000,10000,10000,0,0.055,0.094,0.116,8.19,20.79,48.30
h2,clean,1k,3000,1,10000.677,2999.8,30000,30000,30000,30000,0,0.108,0.188,0.241,20.27,20.79,48.30
h3,clean,1k,3000,1,10000.757,2999.8,30000,30000,30000,30000,0,0.062,0.103,0.136,13.17,32.13,48.30
h2,clean,1k,6000,1,10000.547,5999.7,60000,60000,60000,60000,0,0.141,0.235,0.308,34.65,33.46,48.30
h3,clean,1k,6000,1,10000.473,5999.7,60000,60000,60000,60000,0,0.077,0.125,0.170,20.68,48.93,48.93
h2,clean,1k,10000,1,10000.570,9999.4,100000,100000,100000,100000,0,0.176,0.311,0.380,51.26,20.32,49.11
h3,clean,1k,10000,1,10000.628,9999.4,100000,100000,100000,100000,0,0.099,0.171,0.230,31.40,49.71,49.71
h2,clean,4k,1000,1,9999.620,1000.0,10000,10000,10000,10000,0,0.084,0.138,0.174,12.52,49.71,49.86
h3,clean,4k,1000,1,9999.630,1000.0,10000,10000,10000,10000,0,0.067,0.116,0.144,10.90,49.71,49.86
h2,clean,4k,3000,1,10000.023,3000.0,30000,30000,30000,30000,0,0.123,0.215,0.284,22.91,49.71,49.86
h3,clean,4k,3000,1,10000.070,3000.0,30000,30000,30000,30000,0,0.080,0.161,0.200,20.98,49.71,49.86
h2,clean,4k,6000,1,10000.375,5999.8,60000,60000,60000,60000,0,0.164,0.270,0.331,38.74,49.71,49.86
h3,clean,4k,6000,1,10000.051,6000.0,60000,60000,60000,60000,0,0.129,0.277,0.351,35.56,50.74,50.74
h2,clean,4k,10000,1,9999.970,10000.0,100000,100000,100000,100000,0,0.203,0.359,0.446,57.74,50.75,50.89
h3,clean,4k,10000,1,9999.966,10000.0,100000,100000,100000,100000,0,0.195,0.458,0.594,54.44,50.75,50.89
